"ACCORHOTELS";"43,98€";"+1,31%";"44,05€";"44,23€";"43,90€";"161 959"
"AIR LIQUIDE";"100,30€";"+1,77%";"100,00€";"101,00€";"100,00€";"207 205"
"AIRBUS GROUP (EX-EADS)";"94,31€";"+1,62%";"94,62€";"94,92€";"94,22€";"343 018"
"ARCELORMITTAL";"25,67€";"+3,86%";"25,25€";"25,71€";"25,25€";"1 736 668"
"ATOS";"109,70€";"+2,67%";"109,10€";"109,95€";"108,90€";"78 718"
"AXA";"21,90€";"+1,81%";"21,83€";"21,93€";"21,77€";"1 739 026"
"BNP PARIBAS";"60,75€";"+2,20%";"60,65€";"61,04€";"60,60€";"873 159"
"BOUYGUES";"41,36€";"+2,07%";"41,04€";"41,53€";"41,04€";"121 787"
"CAPGEMINI";"100,30€";"+1,48%";"100,60€";"101,15€";"100,25€";"107 932"
"CARREFOUR";"16,86€";"+1,51%";"16,79€";"16,91€";"16,74€";"570 956"
"CREDIT AGRICOLE";"13,37€";"+1,75%";"13,36€";"13,45€";"13,35€";"1 318 949"
"DANONE";"65,36€";"+1,16%";"65,31€";"65,45€";"65,18€";"283 096"
"ENGIE (EX GDF SUEZ)";"13,92€";"+0,91%";"13,97€";"13,99€";"13,89€";"1 293 958"
"ESSILOR INTERNATIONAL";"111,25€";"+1,04%";"111,40€";"111,65€";"110,90€";"84 476"
"KERING (EX-PPR)";"406,30€";"+1,37%";"405,00€";"409,30€";"404,50€";"55 040"
"LAFARGEHOLCIM";"44,52€";"+2,39%";"44,48€";"44,75€";"44,34€";"51 909"
"LEGRAND";"63,08€";"+1,02%";"63,42€";"63,66€";"63,08€";"119 567"
"L'OREAL";"187,45€";"+0,37%";"188,00€";"188,20€";"187,15€";"129 253"
"LVMH";"258,75€";"+1,13%";"258,00€";"260,00€";"257,20€";"143 823"
"MICHELIN";"119,75€";"+1,14%";"120,40€";"120,80€";"119,45€";"99 980"
"ORANGE";"13,85€";"+0,98%";"13,92€";"13,95€";"13,82€";"1 443 218"
"PERNOD RICARD";"138,35€";"+0,47%";"139,00€";"139,25€";"138,19€";"114 768"
"PSA GROUPE (EX-PEUGEOT)";"19,81€";"+1,54%";"19,82€";"19,97€";"19,78€";"644 842"
"PUBLICIS";"55,98€";"+1,27%";"55,88€";"56,12€";"55,68€";"132 917"
"RENAULT";"97,55€";"+2,22%";"97,34€";"97,86€";"97,23€";"175 462"
"SAFRAN";"85,94€";"+2,80%";"85,10€";"86,54€";"85,02€";"412 195"
"SAINT-GOBAIN";"43,19€";"+1,77%";"43,11€";"43,43€";"43,00€";"341 653"
"SANOFI";"65,86€";"+2,19%";"65,66€";"66,11€";"65,43€";"583 081"
"SCHNEIDER ELECTRIC";"69,78€";"+1,16%";"70,09€";"70,44€";"69,78€";"309 132"
"SOCIETE GENERALE";"44,33€";"+2,08%";"44,16€";"44,49€";"44,14€";"734 106"
"SODEXO";"79,06€";"+1,23%";"78,66€";"79,42€";"78,09€";"164 555"
"SOLVAY";"111,25€";"+1,32%";"111,55€";"112,10€";"111,20€";"40 498"
"STMICROELECTRONICS";"17,46€";"+2,49%";"17,46€";"17,57€";"17,39€";"956 890"
"TECHNIPFMC";"23,74€";"+2,28%";"23,60€";"23,78€";"23,58€";"155 226"
"TOTAL";"47,67€";"+0,84%";"47,99€";"47,99€";"47,57€";"1 724 180"
"UNIBAIL-RODAMCO";"188,10€";"+0,99%";"188,75€";"189,00€";"187,05€";"91 817"
"VALEO";"53,86€";"+0,97%";"54,16€";"54,48€";"53,78€";"236 637"
"VEOLIA ENVIRONNEMENT";"19,21€";"+0,79%";"19,25€";"19,29€";"19,20€";"188 137"
"VINCI";"79,64€";"+1,69%";"79,54€";"79,98€";"79,28€";"208 535"
"VIVENDI";"21,28€";"+2,31%";"21,06€";"21,29€";"20,86€";"1 082 234"
